标签名,标签ID,描述,单位,类型
N2DCS.20LCE15AA101OP,8212,凝结水至中旁减温水调节门全开位,,digital
N2DCS.20MAA11CG051CP,8213,高压主汽门全关位置,,digital
N2DCS.20MAA11CG051OP,8214,高压主汽门全开位置,,digital
N2DCS.20MAA12CG051CP,8215,高压调节阀全关位置,,digital
N2DCS.20MAA12CG051OP,8216,高压调节阀全开位置,,digital
N2DCS.20MAA50EZ110SOE,8217,#3机高压缸前后差压保护动作,,digital
N2DCS.20MAA50EZ120SOE,8218,#3机高压主蒸汽温度高保护动作,,digital
N2DCS.20MAB11CG051DEH,8219,中压主汽门全关位置,,digital
N2DCS.20MAB11CG051OP,8220,中压主汽门全开位置,,digital
N2DCS.20MAB12CG051CP,8221,中压调节门全关位置,,digital
N2DCS.20MAB12CG051OP,8222,中压调节门全开位置,,digital
N2DCS.20MAC10EZ220SOE,8223,#3机低排温度高保护动作,,digital
N2DCS.20MAC11FF001,8224,热网故障,,digital
N2DCS.20MAD11EZ100SOE,8225,#3机轴承金属温度高保护动作,,digital
N2DCS.20MAD12EZ310SOE,8226,#3机轴向位移大保护动作,,digital
N2DCS.20MAG10EZ110SOE,8227,#3机凝汽器真空低保护动作,,digital
N2DCS.20MAJ21AP001TP1,8228,#1真空泵已停止,,digital
N2DCS.20MAJ22AP001TP1,8229,#2真空泵已停止,,digital
N2DCS.20MAJ30AA002OP,8230,真空破坏气动门全开位置,,digital
N2DCS.20MAL11AA051CP,8231,高压调节阀前疏水气动门全关位,,digital
N2DCS.20MAL11AA051F,8232,高压调节阀前疏水气动门无电源,,digital
N2DCS.20MAL11AA051OD/CD,8233,高压调节阀前疏水门关/开指令,,digital
N2DCS.20MAL11AA051OP,8234,高压调节阀前疏水气动门全开位,,digital
N2DCS.20MAL23AA051CP,8235,中压主汽门前疏水门全关位置,,digital
N2DCS.20MAL23AA051F,8236,中压主汽门前疏水门电源消失,,digital
N2DCS.20MAL23AA051OD/CD,8237,中压主汽门前疏水门关/开指令,,digital
N2DCS.20MAL23AA051OP,8238,中压主汽门前疏水门全开位置,,digital
N2DCS.20MAL26AA051CP,8239,中压调节阀前疏水门全关位置,,digital
N2DCS.20MAL26AA051F,8240,中压调节阀前疏水门电源消失,,digital
N2DCS.20MAL26AA051OD/CD,8241,中压调节阀前疏水门关/开指令,,digital
N2DCS.20MAL26AA051OP,8242,中压调节阀前疏水门全开位置,,digital
N2DCS.20MAL65AA051CP,8243,高排逆止门前疏水气动门全关位,,digital
N2DCS.20MAL65AA051F,8244,高排逆止门前疏水门电源消失,,digital
N2DCS.20MAL65AA051OD/CD,8245,高排逆止门前疏水门关/开指令,,digital
N2DCS.20MAL65AA051OP,8246,高排逆止门前疏水门全开位置,,digital
N2DCS.20MAN10AA001CP,8247,凝结水至高旁减温水气动门全关位,,digital
N2DCS.20MAN10AA001OD,8248,凝结水至高旁减温水门关/开指令,,digital
N2DCS.20MAN10AA001OP,8249,凝结水至高旁减温水气动门全开位,,digital
N2DCS.20MAN10AA101AUTO,8250,高旁阀在自动模式,,digital
N2DCS.20MAN10AA101CD,8251,高旁阀快关指令,,digital
N2DCS.20MAN10AA101CP,8252,高旁阀全关位置,,digital
N2DCS.20MAN10AA101F,8253,高旁阀故障,,digital
N2DCS.20MAN10AA101OD,8254,高旁阀快开指令,,digital
N2DCS.20MAN10AA101OP,8255,高旁阀全开位置,,digital
N2DCS.20MAN10AA101PH,8256,@ Ovation Control Builder @,,digital
N2DCS.20MAN10AA101SC,8257,高旁阀安全关指令,,digital
N2DCS.20MAN10AA102_OP,8258,@ Ovation Control Builder @,,digital
N2DCS.20MAN10AA102AUTO,8259,高旁减温水调节阀在自动模式,,digital
N2DCS.20MAN10AA102CD,8260,高旁减温水调节阀快关指令,,digital
N2DCS.20MAN10AA102CP,8261,高旁减温水调节阀全关位置,,digital
N2DCS.20MAN10AA102F,8262,高旁减温水调节阀故障,,digital
N2DCS.20MAN10AA102OD,8263,高旁减温水调节阀快开指令,,digital
N2DCS.20MAN10AA102OP,8264,高旁减温水调节阀全开位置,,digital
N2DCS.20MAN10AC101CP,8265,高旁阀全关位置,,digital
N2DCS.20MAN10CPX2_MRE,8266,高旁阀后蒸汽压力坏点,,digital
N2DCS.20MAN10CTX2_MRE,8267,高旁阀后蒸汽温度坏点,,digital
N2DCS.20MAN10GH001FF,8268,高压旁路油站过载,,digital
N2DCS.20MAN10GH001LL1,8269,高压旁路油站油位低,,digital
N2DCS.20MAN10GH001LL2,8270,高压旁路油站油位低低,,digital
N2DCS.20MAN10GH001PDH,8271,高压旁路油站过滤器阻塞,,digital
N2DCS.20MAN10GH001PF1,8272,高压旁路油站电源1故障,,digital
N2DCS.20MAN10GH001PF2,8273,高压旁路油站电源2故障,,digital
N2DCS.20MAN10GH001PH1,8274,高压旁路油站油压高,,digital
N2DCS.20MAN10GH001PH2,8275,高压旁路油站油压高高,,digital
N2DCS.20MAN10GH001PL1,8276,高压旁路油站油压低,,digital
N2DCS.20MAN10GH001PL2,8277,高压旁路油站油压低低,,digital
N2DCS.20MAN10GH001RD1,8278,高压旁路油站#1油泵启动指令,,digital
N2DCS.20MAN10GH001RD2,8279,高压旁路油站#2油泵启动指令,,digital
N2DCS.20MAN10GH001RP1,8280,高压旁路油站#1油泵在运行,,digital
N2DCS.20MAN10GH001RP2,8281,高压旁路油站#2油泵在运行,,digital
N2DCS.20MAN10GH001TD1,8282,高压旁路油站#1油泵停止指令,,digital
N2DCS.20MAN10GH001TD2,8283,高压旁路油站#2油泵停止指令,,digital
N2DCS.20MAN10GH001TH,8284,高压旁路油站油温高,,digital
N2DCS.20MAN10GH001TP1,8285,高压旁路油站#1油泵已停止,,digital
N2DCS.20MAN10GH001TP2,8286,高压旁路油站#2油泵已停止,,digital
N2DCS.20MAN20AA101AUTO,8287,中旁阀在自动模式,,digital
N2DCS.20MAN20AA101CD,8288,中旁阀快关指令,,digital
N2DCS.20MAN20AA101CP,8289,中旁阀全关位置,,digital
N2DCS.20MAN20AA101F,8290,中旁阀故障,,digital
N2DCS.20MAN20AA101OD,8291,中旁阀快开指令,,digital
N2DCS.20MAN20AA101OP,8292,中旁阀全开位置,,digital
N2DCS.20MAN20AA101SC1,8293,中旁阀安全关指令1,,digital
N2DCS.20MAN20AA101SC2,8294,中旁阀安全关指令2,,digital
N2DCS.20MAN20AC101CP,8295,中旁阀全关位置,,digital
N2DCS.20MAN20CPX2_MRE,8296,中旁阀后蒸汽压力坏点,,digital
N2DCS.20MAN20CTX2_MRE,8297,中旁阀后蒸汽温度坏点,,digital
N2DCS.20MAN20GH001FF,8298,中低压旁路油站过载,,digital
N2DCS.20MAN20GH001LL1,8299,中低压旁路油站油位低,,digital
N2DCS.20MAN20GH001LL2,8300,中低压旁路油站油位低低,,digital
N2DCS.20MAN20GH001PDH,8301,中低压旁路油站过滤器阻塞,,digital
N2DCS.20MAN20GH001PF1,8302,中低压旁路油站电源1故障,,digital
N2DCS.20MAN20GH001PF2,8303,中低压旁路油站电源2故障,,digital
N2DCS.20MAN20GH001PH1,8304,中低压旁路油站油压高,,digital
N2DCS.20MAN20GH001PH2,8305,中低压旁路油站油压高高,,digital
N2DCS.20MAN20GH001PL1,8306,中低压旁路油站油压低,,digital
N2DCS.20MAN20GH001PL2,8307,中低压旁路油站油压低低,,digital
N2DCS.20MAN20GH001RD1,8308,中低压旁路油站#1油泵启动指令,,digital
N2DCS.20MAN20GH001RD2,8309,中低压旁路油站#2油泵启动指令,,digital
N2DCS.20MAN20GH001RP1,8310,中低压旁路油站#1油泵在运行,,digital
N2DCS.20MAN20GH001RP2,8311,中低压旁路油站#2油泵在运行,,digital
N2DCS.20MAN20GH001TD1,8312,中低压旁路油站#1油泵停止指令,,digital
N2DCS.20MAN20GH001TD2,8313,中低压旁路油站#1油泵停止指令,,digital
N2DCS.20MAN20GH001TH,8314,中低压旁路油站油温高,,digital
N2DCS.20MAN20GH001TP1,8315,中低压旁路油站#1油泵已停止,,digital
N2DCS.20MAN20GH001TP2,8316,中低压旁路油站#2油泵已停止,,digital
N2DCS.20MAP10AA101AUTO,8317,低旁阀在自动模式,,digital
N2DCS.20MAP10AA101CD,8318,低旁阀快关指令,,digital
N2DCS.20MAP10AA101CP,8319,低旁阀全关位置,,digital
N2DCS.20MAP10AA101F,8320,低旁阀故障,,digital
N2DCS.20MAP10AA101OD,8321,低旁阀快开指令,,digital
N2DCS.20MAP10AA101OP,8322,低旁阀全开位置,,digital
N2DCS.20MAP10AA101SC1,8323,低旁阀安全关指令1,,digital
N2DCS.20MAP10AA101SC2,8324,低旁阀安全关指令2,,digital
N2DCS.20MAP10AA404CP,8325,低旁阀前疏水气动门全关位,,digital
N2DCS.20MAP10AA404F,8326,低旁阀前疏水气动门无电源,,digital
N2DCS.20MAP10AA404OD/CD,8327,低旁阀前疏水气动门关/开指令,,digital
N2DCS.20MAP10AA404OP,8328,低旁阀前疏水气动门全开位,,digital
N2DCS.20MAP10CPX2_MRE,8329,低旁阀后蒸汽压力坏点,,digital
N2DCS.20MAP10CTX2_MRE,8330,低旁阀后蒸汽温度坏点,,digital
N2DCS.20MAY01CG151CP1,8331,所有主汽门已关闭1-去锅炉主保护,,digital
N2DCS.20MAY01CG151CP2,8332,所有主汽门已关闭2-去锅炉主保护,,digital
N2DCS.20MAY01EZ001SOE,8333,#3机本体保护动作,,digital
N2DCS.20MAY01EZ011SOE,8334,#3机超速保护动作,,digital
N2DCS.20MAY01EZ020SOE,8335,手动打闸停#3机（SOE）,,digital
N2DCS.20MAY10EZ011SOE,8336,#3机轴承振动大保护动作（SOE）,,digital
N2DCS.20MBA10CS910,8337,#4机停机(GT STOPPED),,digital
N2DCS.20MBY10DE010YB01,8338,#4机负荷控制切至DCS设定,,digital
N2DCS.20MBY10DE020XB01,8339,AGC可用,,digital
N2DCS.20MBY10DE020YB01,8340,一次调频投入/退出,,digital
N2DCS.20MBY10DE020YB06,8341,#4机在运行,,digital
N2DCS.20MBY10DE020YB07,8342,#4机已停止,,digital
N2DCS.20MBY10DT040YB01,8343,IGV全开位（慢速速率）,,digital
N2DCS.20MBY10DT040YB02,8344,IGV全开位,,digital
N2DCS.20MBY10DU060YB01,8345,#4机准备同期,,digital
N2DCS.20MBY10DU060YB02,8346,#4机在转速控制方式,,digital
N2DCS.20MBY10DU060YB03,8347,#4机在负荷控制方式,,digital
N2DCS.20MBY10DU060YB04,8348,#4机在最大负荷限制控制方式,,digital
N2DCS.20MBY10DU060YB05,8349,#4机在排气温度控制方式,,digital
N2DCS.20MBY10EE010,8350,DCS EXT LOAD SET POINT SELECT,,digital
N2DCS.20MBY10EE010XB02,8351,#4机负荷控制切至DCS设定,,digital
N2DCS.20MBY10EE010YB02,8352,DCS外部负荷设定投入,,digital
N2DCS.20MKA01DE120,8353,REMOTE SYN REQUEST FROM DCS,,digital
N2DCS.20MKA01DE120XB02,8354,DCS发出#4机远方同期投入,,digital
N2DCS.20MKA01DE120XB03,8355,DCS发出#4机自动同期投入,,digital
N2DCS.20MKA01DE120XB04,8356,DCS发出#4机再同期请求,,digital
N2DCS.20MKA01DE120YB01,8357,DCS发出#4机远方同期请求,,digital
N2DCS.20MKA01DE120YB02,8358,DCS发出#4机自动同期请求,,digital
N2DCS.20MKA10CL001,8359,#3发电机漏水1,,digital
N2DCS.20MKA10CL002,8360,#3发电机漏水2,,digital
N2DCS.20MKA10CL003,8361,#3发电机漏水3,,digital
N2DCS.20MKA10CL004,8362,#3发电机漏水4,,digital
N2DCS.20MKA10CL005,8363,#3发电机漏水5,,digital
N2DCS.20MKA10CL006,8364,#3发电机漏水6,,digital
N2DCS.20MYA01CS901H,8365,#3机转速大于2951RPM,,digital
N2DCS.20MYA01CS901L,8366,#3机转速大于600RPM,,digital
N2DCS.20MYA01DG010,8367,负荷控制投入（协调方式）,,digital
N2DCS.20MYA01DU010,8368,负荷控制投入,,digital
N2DCS.20MYB01EC001YB01,8369,#4机无火焰通道A,,digital
N2DCS.20MYB01EC002YB01,8370,#4机无火焰通道A,,digital
N2DCS.20MYB01EC003YB01,8371,#4机无火焰通道A,,digital
N2DCS.20MYB01EC051YB01,8372,#4机已停止,,digital
N2DCS.20MYB01EC061YB01,8373,#4机盘车已投入通道1,,digital
N2DCS.20MYB01EC062YB01,8374,#4机盘车已投入通道2,,digital
N2DCS.20MYB01EC063YB01,8375,#4机盘车已投入通道3,,digital
N2DCS.20MYB01EC304YB01,8376,#4机甩负荷通道1,,digital
N2DCS.20MYB01EC305YB01,8377,#4机甩负荷通道2,,digital
N2DCS.20MYB01EC306YB01,8378,#4机甩负荷通道3,,digital
N2DCS.20MYB01EU001YB01,8379,#4机跳闸信号（至DCS）,,digital
N2DCS.20MYB01EU001YB11,8380,#4机跳闸信号（至DCS）,,digital
N2DCS.20MYB01EU001YB21,8381,#4机跳闸信号（至DCS）,,digital
N2DCS.20MYB01EU301,8382,#4机跳闸至DCS通道A,,digital
N2DCS.20MYB01EU302,8383,#4机跳闸至DCS通道B,,digital
N2DCS.20MYB01EU303,8384,#4机跳闸至DCS通道C,,digital
N2DCS.20MYB01EZ001YB01,8385,#4机跳闸信号（至SER）,,digital
N2DCS.20MYB10DE010,8386,GT NOR LOAD GRADIENT SELECTED,,digital
N2DCS.20MYB10DE010YB01,8387,#4机负荷快速速率投入,,digital
N2DCS.20MYB10DE010YB02,8388,#4机负荷正常速率投入,,digital
N2DCS.20MYB10EE101XB01,8389,DCS发出停#4机指令,,digital
N2DCS.20MYB10EE102XB02,8390,DCS发出启#4机指令,,digital
N2DCS.20PFMPUTIN,8391,#2机组一次调频投入/退出,,digital
N2DCS.20PGA11AP001TP1,8392,#1闭式冷却水泵已停止,,digital
N2DCS.20PGA12AP001TP1,8393,#2闭式冷却水泵已停止,,digital
N2DCS.20TCSTODCS01,8394,#4机已准备就绪,,digital
N2DCS.20TSIDI1,8395,#3机零转速报警,,digital
N2DCS.20TSIDI10,8396,#3机偏心大报警1,,digital
N2DCS.20TSIDI11,8397,#3机偏心大报警2,,digital
N2DCS.20TSIDI12,8398,#3机轴承盖振大报警1,,digital
N2DCS.20TSIDI13,8399,#3机轴承盖振大报警2,,digital
N2DCS.20TSIDI14,8400,#3机左高压缸热膨胀大报警,,digital
N2DCS.20TSIDI15,8401,#3机右高压缸热膨胀大报警,,digital
N2DCS.20TSIDI16,8402,#3机装置\OK\"状态",,digital
N2DCS.20TSIDI17,8403,#3机主电源失电报警,,digital
N2DCS.20TSIDI18,8404,#3机副电源失电报警,,digital
N2DCS.20TSIDI19,8405,#3机主、副电源失电报警,,digital
N2DCS.20TSIDI2,8406,#3机转速大报警1,,digital
N2DCS.20TSIDI20,8407,#3机24VDC失电报警,,digital
N2DCS.20TSIDI3,8408,#3机转速大报警2,,digital
N2DCS.20TSIDI4,8409,#3机轴振动大报警1,,digital
N2DCS.20TSIDI5,8410,#3机轴振动大报警2,,digital
N2DCS.20TSIDI6,8411,#3机轴向位移大报警1,,digital
N2DCS.20TSIDI7,8412,#3机轴向位移大报警2,,digital
N2DCS.20TSIDI8,8413,#3机高压及低压缸胀差大报警1,,digital
N2DCS.20TSIDI9,8414,#3机高压及低压缸胀差大报警2,,digital
N2DCS.AGCOFF,8415,AGC已退出,,digital
N2DCS.AGCON,8416,AGC已投入,,digital
N2DCS.DEHHIPRSCTL,8417,高中压压力控制后备模式,,digital
N2DCS.DEHLPRSCTL,8418,低压蒸汽压力控制后备模式,,digital
N2DCS.DI,8419,开关量,,digital
N2DCS.GT_FIRE,8420,#4机在运行,,digital
N2DCS.GT_STOP,8421,燃机停止,,digital
N2DCS.GT_TRIP,8422,燃机跳闸(TO DCS),,digital
N2DCS.HOTBANKTBVFULLCLS,8423,热备用强制全关,,digital
N2DCS.HPBCL,8424,高旁阀已关闭,,digital
N2DCS.HPBFOLLOW,8425,高旁阀压力控制后备模式,,digital
N2DCS.HPBMAN,8426,高旁阀在手动模式,,digital
N2DCS.HPBPRATE0,8427,高旁阀压力设定值下降速率为0,,digital
N2DCS.HPBPUPRATEMAX,8428,高旁阀压力设定值上升速率最大,,digital
N2DCS.HPBSPYCL,8429,高旁减温水调节阀已关闭,,digital
N2DCS.HPBSPYOP,8430,高旁减温水调节阀已打开,,digital
N2DCS.HPBYCVFASTCLS,8431,高旁阀快关指令,,digital
N2DCS.HPBYCVFASTOP,8432,高旁阀快开指令,,digital
N2DCS.HPBYSPYCVCLS,8433,高旁减温水调节阀快关指令,,digital
N2DCS.HPBYSPYCVOP,8434,高旁减温水调节阀快开指令,,digital
N2DCS.HPIPMINPRSMODE,8435,高中压旁路最小压力模式,,digital
N2DCS.HPIPMINPRSSET,8436,高中压旁路最小压力设定,,digital
N2DCS.HPIPTBVBACKUP,8437,高中压旁路阀备用模式,,digital
N2DCS.HPIPTBVBACKUPTRK,8438,高旁备用压力设定跟踪,,digital
N2DCS.HPIPTBVPRSTRK,8439,高中压旁路实际压力跟踪,,digital
N2DCS.HPMINPOS,8440,高旁阀最小阀位模式,,digital
N2DCS.HPPRSHIGH03,8441,@ Ovation Control Builder @,,digital
N2DCS.HPPRSHIGH05,8442,高压主汽压力大于0.5,,digital
N2DCS.HPPRSHIGH55,8443,高压主汽压力大于5.5,,digital
N2DCS.HPPVSPERRLOW1,8444,高旁压力与设定值差<0.02,,digital
N2DCS.HPPVSPERRLOW2,8445,高旁压力与设定值差<0.2,,digital
N2DCS.HPPVSVERRHIGH02,8446,高旁压力与设定值1差>0.02,,digital
N2DCS.HPPVSVHIGH02,8447,高旁压力与设定值2差>0.2,,digital
N2DCS.HPPVSVLOW0,8448,高旁压力与设定值2差<0,,digital
N2DCS.HPTARGETSETP,8449,高旁阀后备模式压力设定值高限,,digital
N2DCS.HPTBVAUTO,8450,高旁控制自动,,digital
N2DCS.HPTBVBACKUPHOLD,8451,高旁备用压力设定保持,,digital
N2DCS.HPTBVCTRLON,8452,高旁压力控制投入,,digital
N2DCS.HPTBVCUTAUTO,8453,高旁切手动,,digital
N2DCS.HPTBVERRLOW,8454,@ Ovation Control Builder @,,digital
N2DCS.HPTBVFLAMETRK,8455,高旁压力跟踪,,digital
N2DCS.HPTBVFORCECLS,8456,高旁强制关,,digital
N2DCS.HPTBVFORCEOPEN,8457,高旁强制开,,digital
N2DCS.HPTBVH0,8458,高旁调节指令>0%,,digital
N2DCS.HPTBVH5,8459,高旁调节指令>5%,,digital
N2DCS.HPTBVINTPRSTRK,8460,高旁初始压力设定跟踪,,digital
N2DCS.HPTBVLOWLIMIT,8461,高旁阀位保持,,digital
N2DCS.HPTBVMINCTRLON,8462,高旁最小阀位方式控制,,digital
N2DCS.HPTBVPITRK,8463,@ Ovation Control Builder @,,digital
N2DCS.HPTBVPRSPASS,8464,高旁实际压力设定PASS,,digital
N2DCS.HRSGCOLD,8465,#3炉冷态模式启动,,digital
N2DCS.HRSGHOT,8466,#3炉热态模式启动,,digital
N2DCS.HRSGWARM,8467,#3炉温态模式启动,,digital
N2DCS.IPBCL,8468,中旁阀已关闭,,digital
N2DCS.IPBFOLLOW,8469,中旁阀压力控制后备模式,,digital
N2DCS.IPBMAN,8470,中旁阀在手动模式,,digital
N2DCS.IPBPRATE0,8471,中旁阀压力设定值下降速率为0,,digital
N2DCS.IPBPUPRATEMAX,8472,中旁阀压力设定值上升速率最大,,digital
N2DCS.IPBSPYCL,8473,中旁减温水调节阀已关闭,,digital
N2DCS.IPBSPYOP,8474,中旁减温水调节阀已打开,,digital
N2DCS.IPBYCVFASTCLS,8475,中旁阀快关指令,,digital
N2DCS.IPBYCVFASTOP,8476,中旁阀快开指令,,digital
N2DCS.IPMINPOS,8477,中旁阀最小阀位模式,,digital
N2DCS.IPPRSHIGH01,8478,中压蒸汽压力>0.1,,digital
N2DCS.IPPRSHIGH03,8479,中压蒸汽压力>0.3,,digital
N2DCS.IPPRSHIGH15,8480,中压蒸汽压力>1.5,,digital
N2DCS.IPPVSPERRLOW1,8481,中旁压力与设定值差<-0.02,,digital
N2DCS.IPPVSPERRLOW2,8482,中旁压力与设定值差<-0.1,,digital
N2DCS.IPPVSVERRHIGH02,8483,中压蒸汽压力与设定值1差>0.02,,digital
N2DCS.IPPVSVHIGH02,8484,中压蒸汽压力与设定值2差>0.2,,digital
N2DCS.IPPVSVLOW0,8485,中压蒸汽压力与设定值2差<0,,digital
N2DCS.IPTARGETSETP,8486,中旁阀后备模式压力设定值高限,,digital
N2DCS.IPTBVAUTO,8487,中旁控制自动,,digital
N2DCS.IPTBVBAKPRSTRK,8488,中压旁路备用跟踪,,digital
N2DCS.IPTBVBANKPRSHOLD,8489,中旁备用压力设定保持,,digital
N2DCS.IPTBVCTRLON,8490,中旁压力控制投入,,digital
N2DCS.IPTBVERRLOW,8491,@ Ovation Control Builder @,,digital
N2DCS.IPTBVFLAMETRK,8492,中旁压力跟踪,,digital
N2DCS.IPTBVFORCECLOSE,8493,中旁强制关,,digital
N2DCS.IPTBVFORCECLS,8494,中旁强制关,,digital
N2DCS.IPTBVFORCEOPEN,8495,中旁强制开,,digital
N2DCS.IPTBVH0,8496,中旁调节指令>0%,,digital
N2DCS.IPTBVH5,8497,中旁调节指令>5%,,digital
N2DCS.IPTBVINTPRSSETTRK,8498,中旁初始压力设定跟踪,,digital
N2DCS.IPTBVLOWLIMIT,8499,中旁阀位保持,,digital
N2DCS.IPTBVMINCTRLON,8500,@ Ovation Control Builder @,,digital
N2DCS.IPTBVMINPRSSET,8501,中旁最小压力设定,,digital
N2DCS.IPTBVPITRK,8502,@ Ovation Control Builder @,,digital
N2DCS.IPTBVPRSRATEPASS,8503,@ Ovation Control Builder @,,digital
N2DCS.J0LBG10AA003CD_DO,8504,二号机关闭启动锅炉至1号机辅汽?,,digital
N2DCS.J0LBG10AA003CP_DI,8505,启动锅炉至1号机辅汽母管关断阀?,,digital
N2DCS.J0LBG22AA001CD_DO,8506,二号机关闭启动锅炉至辅汽母管关,,digital
N2DCS.J0LBG22AA001CP_DI,8507,启动锅炉至辅汽母管关断阀全关送,,digital
N2DCS.J0LBG22AA001OD_DO,8508,二号机打开启动锅炉至辅汽母管关,,digital
N2DCS.J0LBG22AA001OP_DI,8509,启动锅炉至辅汽母管关断阀全开送,,digital
N2DCS.J0QFB50AP001RD_DI,8510,二号机启动空压机顺控指令,,digital
N2DCS.J0QFB50CP101DI,8511,压缩空气母管压力正常,,digital
N2DCS.LPBCL,8512,低旁阀已关闭,,digital
N2DCS.LPBFOLLOW,8513,低旁阀压力控制后备模式,,digital
N2DCS.LPBMAN,8514,低旁阀在手动模式,,digital
N2DCS.LPBPRATE0,8515,低旁阀压力设定值下降速率为0,,digital
N2DCS.LPBPUPRATEMAX,8516,低旁阀压力设定值上升速率最大,,digital
N2DCS.LPBSPYCL,8517,低旁减温水调节阀已关闭,,digital
N2DCS.LPBSPYOP,8518,低旁减温水调节阀已打开,,digital
N2DCS.LPBYCVFASTCLS,8519,低旁阀快关指令,,digital
N2DCS.LPBYCVFASTOP,8520,低旁阀快开指令,,digital
N2DCS.LPMINPOS,8521,低旁阀最小阀位模式,,digital
N2DCS.LPMINPRSMODE,8522,@ Ovation Control Builder @,,digital
N2DCS.LPMINPRSSET,8523,低旁最小压力设定,,digital
N2DCS.LPPRSHIGH01,8524,低压蒸汽压力>0.1,,digital
N2DCS.LPPRSHIGH015,8525,低压蒸汽压力>0.15,,digital
N2DCS.LPPRSHIGH03,8526,@ Ovation Control Builder @,,digital
N2DCS.LPPRSHIGH06,8527,低压蒸汽压力>0.6,,digital
N2DCS.LPPVSPERRLOW1,8528,低旁压力与设定值差小于-0.002,,digital
N2DCS.LPPVSPERRLOW2,8529,低旁压力与设定值差小于-0.03,,digital
N2DCS.LPPVSVERRHIGH02,8530,低压蒸汽压力与设定值1差>0.02,,digital
N2DCS.LPPVSVHIGH02,8531,低压蒸汽压力与设定值2差>0.02,,digital
N2DCS.LPPVSVLOW0,8532,低压蒸汽压力与设定值2差<0,,digital
N2DCS.LPTARGETSETP,8533,低旁阀后备模式压力设定值高限,,digital
N2DCS.LPTBVAUTO,8534,低旁控制自动,,digital
N2DCS.LPTBVBACKUP,8535,低旁备用模式,,digital
N2DCS.LPTBVBACKUPHOLD,8536,低旁备用压力设定保持,,digital
N2DCS.LPTBVBACKUPTK,8537,低压旁路备用跟踪,,digital
N2DCS.LPTBVBACKUPTRK,8538,低旁备用压力设定跟踪,,digital
N2DCS.LPTBVCTRLON,8539,低旁压力控制投入,,digital
N2DCS.LPTBVERRLOW,8540,@ Ovation Control Builder @,,digital
N2DCS.LPTBVFLAMETRK,8541,低旁压力跟踪,,digital
N2DCS.LPTBVFORCECLS,8542,低旁强制关,,digital
N2DCS.LPTBVFORCEOPEN,8543,低旁强制开,,digital
N2DCS.LPTBVH0,8544,@ Ovation Control Builder @,,digital
N2DCS.LPTBVH5,8545,低旁调节指令大于5%,,digital
N2DCS.LPTBVINTPRSTRK,8546,低旁初始压力设定跟踪,,digital
N2DCS.LPTBVLOWLIMIT,8547,低旁阀位保持,,digital
N2DCS.LPTBVMINCTRLON,8548,低旁最小阀位控制方式投入,,digital
N2DCS.LPTBVPITRK,8549,@ Ovation Control Builder @,,digital
N2DCS.LPTBVPRSPASS,8550,低旁实际压力设定PASS,,digital
N2DCS.ONE1,8551,开关量1,,digital
N2DCS.OPHIBYPS,8552,停机时开高中压旁路,,digital
N2DCS.TRIPCMD1,8553,@ Ovation Control Builder @,,digital
N2DCS.TSCSALMA,8554,汽机报警A,,digital
N2DCS.TSCSALMB,8555,汽机报警B,,digital
N2DCS.TURBDRNHP_CL,8556,#3机高压疏水阀组关闭指令,,digital
N2DCS.TURBDRNHP_OP,8557,#3机高压疏水阀组打开指令,,digital
N2DCS.TURBDRNHPCP,8558,#3机高压疏水阀组均已关闭,,digital
N2DCS.TURBDRNHPOP,8559,#3机高压疏水门组均已全开,,digital
N2DCS.TURBDRNIP_CL,8560,#3机中压疏水阀组关闭指令,,digital
N2DCS.TURBDRNIP_OP,8561,#3机中压疏水阀组打开指令,,digital
N2DCS.TURBDRNIPCP,8562,#3机中压疏水阀组均已关闭,,digital
N2DCS.TURBDRNIPOP,8563,#3机中压疏水门组均已全开,,digital
N2DCS.TURBDRNLP_CL,8564,#3机低压疏水阀组关闭指令,,digital
N2DCS.TURBDRNLP_OP,8565,#3机低压疏水阀组打开指令,,digital
N2DCS.TURBDRNLPCP,8566,#3机低压疏水阀组均已关闭,,digital
N2DCS.TURBDRNLPOP,8567,#3机低压疏水门组均已全开,,digital
N2DCS.XOCAE01EY301,8568,BOILER PROTECTION CH. A,,digital
N2DCS.XOCAE01EY302,8569,BOILER PROTECTION CH. B,,digital
N2DCS.XOCAE01EY303,8570,BOILER PROTECTION CH. C,,digital
N2DCS.XOLBC10CL002H,8571,冷段逆止阀前疏水罐液位2高,,digital
N2DCS.XOLBC10CL004H,8572,冷段逆止阀后疏水罐液位2高,,digital
N2DCS.XOLBC10CL006H,8573,高旁后再热冷段疏水罐液位2 高,,digital
N2DCS.XOMBY10DE010,8574,EXT LOAD SET POINT REL. TO DCS,,digital
N2DCS.XOMYB01EC001,8575,GT NOT FIRING CH A,,digital
N2DCS.XOMYB01EC002,8576,GT NOT FIRING CH B,,digital
N2DCS.XOMYB01EC003,8577,GT NOT FIRING CH C,,digital
N2DCS.XOMYB01EC051,8578,GT IN SHUTDOWN,,digital
N2DCS.XOMYB01EC061,8579,GT ON TURNING GEAR TO ESD CH 1,,digital
N2DCS.XOMYB01EC062,8580,GT ON TURNING GEAR TO ESD CH 2,,digital
N2DCS.XOMYB01EC063,8581,GT ON TURNING GEAR TO ESD CH 3,,digital
N2DCS.XOMYB01EC304,8582,GT IN LOAD REJECTION TO ESD CH,,digital
